2012-02-14 12:38:07 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 2]
2012-02-14 12:38:07 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 2]
2012-02-14 12:38:08 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 2]
2012-02-14 12:40:03 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 2]
2012-02-14 12:40:03 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 2]
2012-02-14 12:40:03 Notice: Notice (8): Undefined variable: facebook in [/var/www/html/app/views/layouts/default.ctp, line 2]
2012-02-14 12:57:19 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 12:57:31 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 12:58:07 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 12:59:33 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:04:29 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:04:30 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:04:43 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:04:44 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:05:17 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:05:18 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:05:18 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:05:27 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 13:05:28 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-14 20:24:57 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 00:24:57 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 00:24:58 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 00:24:58 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
2012-02-15 00:24:58 Notice: Notice (8): Undefined variable: javascript in [/var/www/html/app/views/layouts/default.ctp, line 50]
